Epoch,Train Loss,Val Loss,Val Valence RMSE,Val Arousal RMSE,Val Overall RMSE,Val Valence MAE,Val Arousal MAE,Val Valence R2,Val Arousal R2
280,0.1431,0.8193,0.2464,0.1374,0.1995,0.1881,0.1111,-0.1443,-0.1225
281,0.139,0.8192,0.2464,0.1375,0.1995,0.1882,0.1111,-0.1436,-0.1232
282,0.1411,0.8192,0.2463,0.1375,0.1995,0.1881,0.1111,-0.1429,-0.1242
283,0.1426,0.8194,0.2461,0.1376,0.1994,0.1879,0.1111,-0.1414,-0.1248
284,0.1452,0.8194,0.246,0.1376,0.1993,0.1877,0.1111,-0.14,-0.125
285,0.1414,0.8193,0.2459,0.1376,0.1992,0.1875,0.1111,-0.1391,-0.1251
286,0.1392,0.8193,0.2458,0.1376,0.1992,0.1874,0.1111,-0.1382,-0.1251
287,0.1429,0.8194,0.2457,0.1376,0.1991,0.1873,0.1111,-0.1378,-0.1252
288,0.1421,0.8195,0.2457,0.1376,0.1991,0.1872,0.1111,-0.1375,-0.1251
289,0.1424,0.8196,0.2457,0.1375,0.1991,0.1872,0.1111,-0.1373,-0.1247
290,0.1433,0.8196,0.2457,0.1375,0.1991,0.1872,0.1111,-0.1374,-0.1245
291,0.1422,0.8195,0.2457,0.1375,0.1991,0.1872,0.1111,-0.1373,-0.1245
292,0.1396,0.8195,0.2457,0.1375,0.1991,0.1872,0.1111,-0.1373,-0.1244
293,0.141,0.8195,0.2457,0.1375,0.1991,0.1872,0.1111,-0.1375,-0.1244
294,0.1482,0.8195,0.2457,0.1375,0.1991,0.1872,0.1111,-0.1376,-0.1243
295,0.1428,0.8195,0.2457,0.1375,0.1991,0.1872,0.1111,-0.1377,-0.1244
296,0.144,0.8194,0.2457,0.1375,0.1991,0.1873,0.1111,-0.1378,-0.1244
297,0.1408,0.8194,0.2457,0.1375,0.1991,0.1873,0.1111,-0.1379,-0.1244
298,0.1421,0.8194,0.2457,0.1375,0.1991,0.1873,0.1111,-0.138,-0.1244
299,0.1409,0.8194,0.2457,0.1375,0.1991,0.1873,0.1111,-0.138,-0.1244
300,0.1444,0.8194,0.2457,0.1375,0.1991,0.1873,0.1111,-0.138,-0.1244
